runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv,$/kW,$/kWh
50,CA_San.Francisco.Intl,Office,20,0,None,800,400,0.05,1,0.92,0.5,24,12,-513932.8354,-511475.8197,2457.015632,-269855.3521,-235431.3767,34423.97544,36880.99108,-30638.36336,33095.37899,2457.015632,0,36880.99108,0.07044,15208.011,,
51,CA_San.Francisco.Intl,Office,20,0,None,900,450,0.05,1,0.92,0.5,24,12,-513932.8354,-511402.6981,2530.1373,-269855.3521,-233189.5952,36665.75693,39195.89423,-34520.46852,37050.60582,2530.1373,0,39195.89423,0.06162,2629.305,,
52,CA_San.Francisco.Intl,Office,20,0,None,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-511353.549,2579.286324,-269855.3521,-230991.5822,38863.76986,41443.05619,-38422.99617,41002.28249,2579.286324,0,41443.05619,0.05419,-10376.755,,
53,CA_San.Francisco.Intl,Office,20,0,None,1200,600,0.05,1,0.92,0.5,24,12,-513932.8354,-511290.6487,2642.186683,-269855.3521,-226636.6002,43218.75192,45860.9386,-46205.20583,48847.39251,2642.186683,0,45860.9386,0.04256,-36871.117,,
54,CA_San.Francisco.Intl,Office,20,0,None,1500,750,0.05,1,0.92,0.5,24,12,-513932.8354,-511374.2117,2558.623646,-269855.3521,-220165.9946,49689.35755,52247.9812,-57678.99829,60237.62194,2558.623646,0,52247.9812,0.02987,-78251.196,,
55,CA_San.Francisco.Intl,Office,20,0,None,2000,1000,0.05,1,0.92,0.5,24,12,-513932.8354,-512213.449,1719.386361,-269855.3521,-209705.8774,60149.47467,61868.86103,-74390.7189,76110.10526,1719.386361,0,61868.86103,0.01416,-154764.13,,
56,CA_San.Francisco.Intl,Office,20,0,None,100,25,0.05,1,0.92,0.5,24,12,-513932.8354,-513059.582,873.2533437,-269855.3521,-263855.3521,6000,6873.253344,-3665.870177,4539.123521,873.2533437,0,6873.253344,0.14288,16178.256,,
57,CA_San.Francisco.Intl,Office,20,0,None,200,50,0.05,1,0.92,0.5,24,12,-513932.8354,-512376.4604,1556.374995,-269855.3521,-257855.3521,12000,13556.37499,-7463.476289,9019.851284,1556.374995,0,13556.37499,0.14,31157.042,,
58,CA_San.Francisco.Intl,Office,20,0,None,300,75,0.05,1,0.92,0.5,24,12,-513932.8354,-512079.5693,1853.26608,-269855.3521,-252038.2519,17817.1002,19670.36628,-11280.59014,13133.85622,1853.26608,0,19670.36628,0.13323,42545.392,,
59,CA_San.Francisco.Intl,Office,20,0,None,400,100,0.05,1,0.92,0.5,24,12,-513932.8354,-511983.7173,1949.118044,-269855.3521,-247391.9217,22463.43045,24412.5485,-15141.15639,17090.27443,1949.118044,0,24412.5485,0.11916,45279.501,,
60,CA_San.Francisco.Intl,Office,20,0,None,500,125,0.05,1,0.92,0.5,24,12,-513932.8354,-511823.4558,2109.379527,-269855.3521,-243891.7982,25963.55387,28072.93339,-19002.81508,21112.19461,2109.379527,0,28072.93339,0.10367,41188.946,,
61,CA_San.Francisco.Intl,Office,20,0,None,600,150,0.05,1,0.92,0.5,24,12,-513932.8354,-511674.6489,2258.186451,-269855.3521,-240765.5879,29089.76425,31347.9507,-22881.78202,25139.96848,2258.186451,0,31347.9507,0.09102,34667.249,,
62,CA_San.Francisco.Intl,Office,20,0,None,700,175,0.05,1,0.92,0.5,24,12,-513932.8354,-511558.4862,2374.349184,-269855.3521,-237983.8516,31871.50047,34245.84966,-26761.56363,29135.91281,2374.349184,0,34245.84966,0.07999,25766.451,,
63,CA_San.Francisco.Intl,Office,20,0,None,800,200,0.05,1,0.92,0.5,24,12,-513932.8354,-511472.7823,2460.053098,-269855.3521,-235431.3767,34423.97544,36884.02854,-30637.42282,33097.47592,2460.053098,0,36884.02854,0.07045,15227.173,,
64,CA_San.Francisco.Intl,Office,20,0,None,900,225,0.05,1,0.92,0.5,24,12,-513932.8354,-511400.1744,2532.661009,-269855.3521,-233189.5952,36665.75693,39198.41794,-34517.86067,37050.52168,2532.661009,0,39198.41794,0.06163,2645.226,,
65,CA_San.Francisco.Intl,Office,20,0,None,1000,250,0.05,1,0.92,0.5,24,12,-513932.8354,-511351.5135,2581.321911,-269855.3521,-230991.5822,38863.76986,41445.09178,-38419.28608,41000.60799,2581.321911,0,41445.09178,0.0542,-10363.914,,
66,CA_San.Francisco.Intl,Office,20,0,None,1200,300,0.05,1,0.92,0.5,24,12,-513932.8354,-511295.4745,2637.360901,-269855.3521,-226636.6002,43218.75192,45856.11282,-46210.03161,48847.39251,2637.360901,0,45856.11282,0.04254,-36901.561,,
67,CA_San.Francisco.Intl,Office,20,0,None,1500,375,0.05,1,0.92,0.5,24,12,-513932.8354,-511381.6983,2551.137019,-269855.3521,-220165.9946,49689.35755,52240.49457,-57680.10969,60231.24671,2551.137019,0,52240.49457,0.02985,-78298.807,,
68,CA_San.Francisco.Intl,Office,20,0,None,2000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-512250.0157,1682.819655,-269855.3521,-209705.8774,60149.47467,61832.29432,-74365.31717,76048.13682,1682.819655,0,61832.29432,0.01408,-155003.607,,
69,CA_San.Francisco.Intl,Office,20,0.10531,Retail,100,50,0.05,1,0.92,0.5,24,12,-513932.8354,-513193.9135,738.9218497,-269855.3521,-258023.1414,11832.21067,12571.13252,-3799.021843,4537.943693,738.9218497,0,12571.13252,0.30472,52124.09,,
70,CA_San.Francisco.Intl,Office,20,0.10531,Retail,200,100,0.05,1,0.92,0.5,24,12,-513932.8354,-512722.9163,1209.919026,-269855.3521,-251767.358,18087.99413,19297.91316,-7532.026192,8741.945218,1209.919026,0,19297.91316,0.22378,67378.304,,
71,CA_San.Francisco.Intl,Office,20,0.10531,Retail,300,150,0.05,1,0.92,0.5,24,12,-513932.8354,-512323.3977,1609.437708,-269855.3521,-247946.064,21909.28811,23518.72582,-11311.78643,12921.22414,1609.437708,0,23518.72582,0.17172,66823.283,,
72,CA_San.Francisco.Intl,Office,20,0.10531,Retail,400,200,0.05,1,0.92,0.5,24,12,-513932.8354,-512022.8514,1909.983998,-269855.3521,-245068.1245,24787.22757,26697.21157,-15142.40372,17052.38772,1909.983998,0,26697.21157,0.13683,59692.603,,
73,CA_San.Francisco.Intl,Office,20,0.10531,Retail,500,250,0.05,1,0.92,0.5,24,12,-513932.8354,-511813.0769,2119.758429,-269855.3521,-242476.0534,27379.29866,29499.05709,-18989.41618,21109.17461,2119.758429,-2.50E-14,29499.05709,0.11276,50185.839,,
74,CA_San.Francisco.Intl,Office,20,0.10531,Retail,600,300,0.05,1,0.92,0.5,24,12,-513932.8354,-511759.6107,2173.224683,-269855.3521,-240039.4156,29815.9365,31989.16118,-22883.28638,25056.51106,2173.224683,82.10898322,32071.27016,0.09496,39230.407,,
75,CA_San.Francisco.Intl,Office,20,0.10531,Retail,700,350,0.05,1,0.92,0.5,24,12,-513932.8354,-511777.1209,2155.71444,-269855.3521,-237687.8721,32167.48003,34323.19447,-26757.29894,28913.01338,2155.71444,208.4195405,34531.61401,0.08136,27569.233,,
76,CA_San.Francisco.Intl,Office,20,0.10531,Retail,800,400,0.05,1,0.92,0.5,24,12,-513932.8354,-511952.0723,1980.763073,-269855.3521,-235431.3767,34423.97544,36404.73852,-30638.36336,32619.12643,1980.763073,476.2525584,36880.99108,0.07044,15208.011,,
77,CA_San.Francisco.Intl,Office,20,0.10531,Retail,900,450,0.05,1,0.92,0.5,24,12,-513932.8354,-512685.1199,1247.715418,-269855.3521,-233189.5952,36665.75693,37913.47235,-34520.46852,35768.18394,1247.715418,1282.421882,39195.89423,0.06162,2629.305,,
78,CA_San.Francisco.Intl,Office,20,0.10531,Retail,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-514086.6354,-153.800053,-269855.3521,-230991.5822,38863.76986,38709.96981,-38422.99617,38269.19612,-153.800053,2733.086377,41443.05619,0.05419,-10376.755,,
79,CA_San.Francisco.Intl,Office,20,0.10531,Retail,1200,600,0.05,1,0.92,0.5,24,12,-513932.8354,-516149.7238,-2216.888417,-269855.3521,-226636.6002,43218.75192,41001.8635,-46205.20583,43988.31741,-2216.888417,4859.0751,45860.9386,0.04256,-36871.117,,
80,CA_San.Francisco.Intl,Office,20,0.10531,Retail,1500,750,0.05,1,0.92,0.5,24,12,-513932.8354,-519465.992,-5533.156632,-269855.3521,-220165.9946,49689.35755,44156.20092,-57968.9177,52435.76106,-5533.156632,8132.596419,52288.79734,0.02997,-77991.628,,
81,CA_San.Francisco.Intl,Office,20,0.10531,Retail,2000,1000,0.05,1,0.92,0.5,24,12,-513932.8354,-527449.064,-13516.22864,-269855.3521,-209705.8774,60149.47467,46633.24602,-77412.11748,63895.88884,-13516.22864,15725.87977,62359.1258,0.01519,-151553.361,,
82,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,100,50,0.05,1,0.92,0.5,24,12,-513932.8354,-513193.9128,738.9225561,-269855.3521,-258023.1414,11832.21067,12571.13323,-3799.029486,4537.952042,738.9225561,0,12571.13323,0.30472,52124.094,,
83,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,200,100,0.05,1,0.92,0.5,24,12,-513932.8354,-512722.9163,1209.919026,-269855.3521,-251767.358,18087.99413,19297.91316,-7532.026192,8741.945218,1209.919026,0,19297.91316,0.22378,67378.304,,
84,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,300,150,0.05,1,0.92,0.5,24,12,-513932.8354,-512323.3977,1609.437708,-269855.3521,-247946.064,21909.28811,23518.72582,-11311.78643,12921.22414,1609.437708,0,23518.72582,0.17172,66823.283,,
85,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,400,200,0.05,1,0.92,0.5,24,12,-513932.8354,-512022.8514,1909.983998,-269855.3521,-245068.1245,24787.22757,26697.21157,-15142.40372,17052.38772,1909.983998,0,26697.21157,0.13683,59692.603,,
86,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,500,250,0.05,1,0.92,0.5,24,12,-513932.8354,-511815.9675,2116.867842,-269855.3521,-242476.0534,27379.29866,29496.1665,-18989.41618,21106.28402,2116.867842,4.296302159,29500.4628,0.11277,50194.707,,
87,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,600,300,0.05,1,0.92,0.5,24,12,-513932.8354,-511687.9478,2244.887579,-269855.3521,-240039.4156,29815.9365,32060.82408,-22883.28638,25128.17396,2244.887579,15.52610016,32076.35018,0.09499,39262.455,,
88,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,700,350,0.05,1,0.92,0.5,24,12,-513932.8354,-511586.703,2346.132394,-269855.3521,-237687.8721,32167.48003,34513.61243,-26757.29894,29103.43134,2346.132394,26.75589816,34540.36833,0.0814,27624.461,,
89,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,800,400,0.05,1,0.92,0.5,24,12,-513932.8354,-511501.3768,2431.458544,-269855.3521,-235431.3767,34423.97544,36855.43399,-30638.36336,33069.8219,2431.458544,37.98569616,36893.41969,0.07049,15286.418,,
90,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,900,450,0.05,1,0.92,0.5,24,12,-513932.8354,-511430.3188,2502.516604,-269855.3521,-233189.5952,36665.75693,39168.27353,-34520.46852,37022.98512,2502.516604,44.46059601,39212.73413,0.06169,2735.542,,
91,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,1000,500,0.05,1,0.92,0.5,24,12,-513932.8354,-511400.3744,2532.460963,-269855.3521,-230991.5822,38863.76986,41396.23083,-38422.99617,40955.45713,2532.460963,74.98424117,41471.21507,0.05429,-10199.111,,
92,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,1200,600,0.05,1,0.92,0.5,24,12,-513932.8354,-511378.9991,2553.836294,-269855.3521,-226636.6002,43218.75192,45772.58822,-46205.20583,48759.04212,2553.836294,140.542106,45913.13032,0.04271,-36541.859,,
93,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,1500,750,0.05,1,0.92,0.5,24,12,-513932.8354,-511503.6126,2429.222803,-269855.3521,-220165.9946,49689.35755,52118.58035,-57678.99829,60108.22109,2429.222803,262.110397,52380.69075,0.03021,-77407.236,,
94,CA_San.Francisco.Intl,Office,20,0.032141,LMPs,2000,1000,0.05,1,0.92,0.5,24,12,-513932.8354,-512533.5056,1399.329781,-269855.3521,-209705.8774,60149.47467,61548.80445,-74405.74816,75805.07794,1399.329781,668.4788795,62217.28333,0.01489,-152482.294,,
95,CA_San.Francisco.Intl,Office,20,0.12,Low flat,100,50,0.05,1,0.92,0.5,24,12,-513932.8354,-513193.9135,738.9218497,-269855.3521,-258023.1414,11832.21067,12571.13252,-3799.021843,4537.943693,738.9218497,0,12571.13252,0.30472,52124.09,,
96,CA_San.Francisco.Intl,Office,20,0.12,Low flat,200,100,0.05,1,0.92,0.5,24,12,-513932.8354,-512722.9163,1209.919026,-269855.3521,-251767.358,18087.99413,19297.91316,-7532.026192,8741.945218,1209.919026,0,19297.91316,0.22378,67378.304,,
