runID,location,customer_type,demand_charge,export_price,export_price_type,battery_size_kWh,battery_power_kW,min_soc,max_soc,one_way_efficiency,start_soc,n_horizon,n_control,old_energy_charge,new_energy_charge,energy_charge_savings,old_demand_charge,new_demand_charge,demand_charge_savings,retail_profits,battery_charge_cost,battery_discharge_revenues,battery_retail_profits,battery_export_revenue,total_profits,irr,npv
51,CA_Beale.AFB.724837_TMY3,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-340210.1086818748,-337883.37546710233,2326.7332147724233,-125996.25318565845,-91340.40639306232,34655.846792596116,36982.58000736854,-29437.80500695696,31764.5382217294,2326.733214772433,0.0,36982.58000736855,0.12105999999999999,70214.062
52,CA_Beale.AFB.724837_TMY3,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-509257.6772121156,-507605.3669214296,1652.3102906859713,-257192.29099952691,-228339.15125926,28853.13974026701,30505.450030952983,-22911.090575010083,24563.40086569604,1652.3102906859604,0.0,30505.45003095297,0.08639,29352.221
53,CA_Beale.AFB.724837_TMY3,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-414773.3594713549,-412411.1143754606,2362.2450958942645,-253522.82119372266,-213101.03407066927,40421.787123053335,42784.0322189476,-23686.722534233737,26048.967630127987,2362.2450958942536,0.0,42784.03221894759,0.15066,106813.3
54,CA_Beale.AFB.724837_TMY3,Apartment,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-348732.6263037448,-343448.4507442769,5284.175559467869,-149896.58322387355,-117324.346687764,32572.23653610956,37856.41209557744,-21481.72849273832,26765.90405220616,5284.17555946784,0.0,37856.412095577405,0.12559,75726.74900000001
55,CA_Beale.AFB.724837_TMY3,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-372483.4934393172,-370373.6036098781,2109.889829439111,-222358.95856545828,-191703.6178217111,30655.340743747187,32765.230573186294,-22672.323197758993,24782.21302719813,2109.889829439133,0.0,32765.230573186323,0.09872,43608.349
56,CA_Beale.AFB.724837_TMY3,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-460080.4435228817,-459924.94070076,155.50282212166348,-164680.53673307138,-138072.0799116428,26608.456821428583,26763.95964355025,-29266.04626142922,29421.54908355085,155.50282212163802,0.0,26763.95964355022,0.06529,5748.528
57,CA_Beale.AFB.724837_TMY3,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-627633.1129460188,-624325.2050638142,3307.907882204628,-385864.786812162,-346067.7240390537,39797.062773108366,43104.970655312994,-21968.75885257021,25276.66673477482,3307.9078822046067,0.0,43104.970655312965,0.15225999999999998,108837.98300000001
58,CA_Beale.AFB.724837_TMY3,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-377756.0284625489,-373678.3705772664,4077.657885282359,-152303.68463918634,-115181.17650315065,37122.50813603573,41200.16602131809,-25664.180861032608,29741.838746315,4077.6578852823877,0.0,41200.16602131812,0.14269,96821.268
59,CA_Beale.AFB.724837_TMY3,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-317895.2273000505,-317217.3031749856,677.9241250649211,-163939.21977370494,-138130.08683322585,25809.132940479092,26487.05706554401,-23163.10973913717,23841.03386420198,677.9241250648156,0.0,26487.057065543908,0.06369,4001.651
60,CA_Beale.AFB.724837_TMY3,Market,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-388476.37120192975,-387319.7589491774,1156.6122527523548,-154027.1939144948,-133659.66285364536,20367.531060849462,21524.143313601817,-23610.415485148354,24767.027737900717,1156.612252752362,0.0,21524.143313601824,0.033839999999999995,-27326.131
61,CA_Bishop,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-504616.9042068457,-503178.5703062346,1438.3339006111496,-184882.51106047,-154444.0687186255,30438.442341844464,31876.77624245561,-26497.352230734512,27935.68613134561,1438.3339006110944,0.0,31876.776242455562,0.09391000000000001,38003.416
62,CA_Bishop,Hospital,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-254221.90521521863,-254145.57677161906,76.3284435996029,-86501.15947886325,-73658.751665886,12842.407812977252,12918.736256576856,-20827.446189026323,20903.774632625966,76.32844359964292,0.0,12918.736256576896,-0.03355,-86418.714
63,CA_Bishop,Hotel,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-338850.03680123354,-336641.7229931425,2208.3138080909853,-124923.22805787233,-89137.24610012735,35785.98195774498,37994.29576583597,-30276.066069424014,32484.379877515064,2208.313808091054,0.0,37994.29576583603,0.1263,76596.607
64,CA_Bishop,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-486083.6676814926,-484901.41195551795,1182.2557259746827,-244356.1348412269,-216106.08837540832,28250.0464658186,29432.302191793282,-22979.035628091242,24161.291354065932,1182.2557259746934,0.0,29432.302191793286,0.08043,22582.124
65,CA_Bishop,Office,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-422991.82533400325,-420153.42235103814,2838.402982965228,-264319.6478984028,-213949.9533029945,50369.69459540831,53208.097578373534,-23439.406415939455,26277.809398904694,2838.402982965239,0.0,53208.09757837356,0.20157,172574.91199999998
66,CA_Bishop,Apartment,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-352369.067968025,-347095.5233848891,5273.544583135867,-150344.11960556585,-117536.62176726425,32807.49783830161,38081.04242143748,-21468.13630641664,26741.680889552492,5273.544583135852,0.0,38081.042421437465,0.12675,77143.86
67,CA_Bishop,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-374020.2993477505,-371846.7722018229,2173.5271459276555,-222241.70786024322,-191519.38890534034,30722.318954902847,32895.846100830495,-22355.65641860793,24529.183564535568,2173.5271459276446,0.0,32895.84610083049,0.09942000000000001,44432.355
68,CA_Bishop,Restaurant,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-464018.00180049427,-463879.6816633314,138.32013716298388,-163420.4923672889,-136833.9749574548,26586.517409834112,26724.83754699709,-28975.48173385161,29113.801871014624,138.32013716300935,0.0,26724.837546997118,0.06506,5501.721
69,CA_Bishop,School,20,0.0,None,600,300.0,0.05,1.0,0.92,0.5,24,12,-586533.3588211343,-583625.4994607372,2907.859360396979,-353897.52772411867,-316808.16738296143,37089.3603411573,39997.219701554284,-22208.921183133774,25116.780543530866,2907.859360397081,0.0,39997.21970155438,0.13658,89232.32
